NAME,LONG,LAT,ANGLE,SIZE
黑龙江,1623937.79407216,5866667.08865243,-10,4
新疆,-1609428.64653905,5113455.214148,0,4
山西,621816.045684357,4559113.82288347,0,4
宁夏,99683.499378625,4501151.42657844,0,4
西藏,-1532343.02885184,4038556.86703699,0,4
山东,1142136.55847746,4495013.85026387,0,4
河南,780158.718112262,4174676.25166371,0,4
江苏,1325927.11331878,4156135.51951729,0,4
安徽,1142714.02715504,3994883.16040226,0,4
湖北,688817.54586613,3846592.85302367,0,4
浙江,1458283.61138502,3753226.28010058,0,4
江西,1063817.75990474,3509593.99175575,0,4
湖南,669038.905412454,3466123.65133569,0,4
云南,-362170.988078851,3146658.53426257,0,4
贵州,187869.561690789,3352254.13380614,0,4
福建,1316637.06091615,3375049.77757165,0,4
广西,397240.526312617,3021591.84003133,0,4
广东,884985.642175236,3004214.23847697,0,4
海南,531603.012108694,2489613.11341445,0,4
吉林,1625826.65681988,5409036.61595043,-20,4
辽宁,1407783.38980001,5093604.5877959,0,4
天津,1224469.11831392,4800072.73503413,0,3
青海,-792836.302753596,4381695.62316168,0,4
甘肃,-292065.87178211,4664786.94720048,-30,4
陕西,341036.700472888,4279102.63837419,0,4
内蒙古,605619.383722715,5066222.91965998,35,4
重庆,273824.009026542,3716571.97548455,0,4
河北,907719.395654724,4806767.78256993,0,4
上海,1543993.27950005,3997976.86534778,0,3
北京,934732.235999678,5051658.82534282,0,3
台湾,1671852.96047973,3172254.07225781,0,4
香港,1207834.598058232,2902616.59676347,0,3
澳门,900333.148937599,2768520.10034283,0,3
四川,-217239.297788711,3774578.44548213,0,4
南海诸岛,2461852.96047973,2252254.07225781,0,4
