prov,province_label,casenum,mean_tem,range_tem,mean_hum,range_hum
广东,Guangdong,1333,15.56136364,13.2375,80.65180653,41.28409091
湖南,Hunan,1011,7.481868128,16.7196428,90.97527472,25.66071428
四川,Sichuan,525,3.37993311,12.0293479,82.55685619,32.36956522
北京,Beijing,396,-5.606410254,20.5666667,74.08012821,38.51388889
安徽,Anhui,988,4.829594015,19.1527778,77.07407407,44.04166666
广西,Guangxi,246,14.25564103,13.655,84.07478632,45.01666667
浙江,Zhejiang,1203,7.185897433,14.3846153,85.63954635,42.5
山东,Shandong,549,2.017588141,18.8078125,66.43189103,39.796875
江苏,Jiangsu,631,5.442032972,16.1035715,77.9029304,42.10714286
河南,Henan,1267,-0.276701185,16.1009615,67.28796844,42.99038462
海南,Hainan,168,19.4269894,5.0137931,77.53337754,22.31034483
重庆,Chongqing,567,5.042994503,16.1202381,79.3458486,55.2202381
云南,Yunnan,174,9.10229701,10.3791667,59.41426282,42.73958333
江西,Jiangxi,934,7.003098285,17.4708333,86.65384615,43.41666667
辽宁,Liaoning,121,-5.870650185,19.6696429,80.03067766,23.41071428
陕西,Shannxi,245,1.439487179,12.8483333,62.17307692,51.25
内蒙,Inner mongolia,75,-13.32897436,16.2383334,72.54957265,29.15
吉林,Jilin,91,-13.52735043,26.0541667,79.2232906,35.125
宁夏,Ningxia,71,-3.246062269,13.9357143,65.6043956,48.53571428
山西,Shanxi,132,-5.113461533,20.6431818,64.70104895,43.93181818
河北,Hebei,308,-3.284566072,22.95,70.8821499,35.71153846
甘肃,Gansu,91,-8.978959279,11.6588236,59.20927602,49.20588236
福建,Fujian,293,11.29358974,12.74375,87.08066239,27.83333333
贵州,Guizhou,146,8.113675218,16.7611111,86.75071225,25.63888889
黑龙,Heilong,480,-16.07211539,18.9857143,84.11584249,25.94642857
天津,Tianjin,132,-2.780591172,22.3805555,75.12179487,40
上海,Shanghai,334,7.818589744,7.225,80.89102564,40.95833333
