prov,city,province_label,city_label
安徽,安徽-合肥,Anhui,Hefei
安徽,安徽-阜阳,Anhui,Fuyang
安徽,安徽-六安,Anhui,Liu'an
安徽,安徽-蚌埠,Anhui,Bengbu
安徽,安徽-亳州,Anhui,Haozhou
安徽,安徽-芜湖,Anhui,Wuhu
安徽,安徽-宿州,Anhui,Suzhou(AH)
安徽,安徽-淮南,Anhui,Huainan
福建,福建-福州,Fujian,Fuzhou
福建,福建-厦门,Fujian,Xiamen
福建,福建-泉州,Fujian,Quanzhou
福建,福建-漳州,Fujian,Zhangzhou
甘肃,甘肃-兰州,Gansu,Lanzhou
广东,广东-深圳,Guangdong,Shenzhen
广东,广东-珠海,Guangdong,Zhuhai
广东,广东-广州,Guangdong,Guangzhou
广东,广东-佛山,Guangdong,Foshan
广东,广东-惠州,Guangdong,Huizhou
广东,广东-湛江,Guangdong,Zhanjiang
广东,广东-中山,Guangdong,Zhongshan
广东,广东-汕头,Guangdong,Shantou
广东,广东-东莞,Guangdong,Dongwan
广东,广东-江门,Guangdong,Jiangmen
广西,广西-柳州,Guangxi,Liuzhou
广西,广西-桂林,Guangxi,Guilin
广西,广西-南宁,Guangxi,Nanning
贵州,贵州-贵阳,Guizhou,Guiyang
贵州,贵州-遵义,Guizhou,Zunyi
贵州,贵州-毕节,Guizhou,Bijie
海南,海南-海口,Hainan,Haikou
河北,河北-石家庄,Hebei,Shijiazhuang
河北,河北-保定,Hebei,Baoding
河北,河北-邯郸,Hebei,Handan
河北,河北-廊坊,Hebei,Langfang
河北,河北-邢台,Hebei,Xingtai
河北,河北-唐山,Hebei,Tangshan
黑龙,黑龙-哈尔滨,Heilongjiang,Harbin
黑龙,黑龙-绥化,Heilongjiang,Suihua
河南,河南-郑州,Henan,Zhengzhou
河南,河南-洛阳,Henan,Luoyang
河南,河南-信阳,Henan,Xinyang
河南,河南-周口,Henan,Zhoukou
河南,河南-南阳,Henan,Nanyang
河南,河南-驻马店,Henan,Zhumadian
河南,河南-新乡,Henan,Xinxiang
河南,河南-安阳,Henan,Anyang
河南,河南-商丘,Henan,Shangqiu
河南,河南-开封,Henan,Kaifeng
湖南,湖南-长沙,Hunan,Changsha
湖南,湖南-永州,Hunan,Yongzhou
湖南,湖南-岳阳,Hunan,Yueyang
湖南,湖南-怀化,Hunan,Huaihua
湖南,湖南-娄底,Hunan,Loudi
湖南,湖南-株洲,Hunan,Zhuzhou
湖南,湖南-湘潭,Hunan,Xiangtan
湖南,湖南-郴州,Hunan,Chenzhou
湖南,湖南-益阳,Hunan,Yiyang
湖南,湖南-衡阳,Hunan,Hengyang
湖南,湖南-常德,Hunan,Changde
湖南,湖南-邵阳,Hunan,Shaoyang
江苏,江苏-南京,Jiangsu,Nanjing
江苏,江苏-苏州,Jiangsu,Suzhou(JS)
江苏,江苏-无锡,Jiangsu,Wuxi
江苏,江苏-南通,Jiangsu,Nantong
江苏,江苏-连云港,Jiangsu,Lianyungang
江苏,江苏-常州,Jiangsu,Changzhou
江苏,江苏-淮安,Jiangsu,Huai'an
江苏,江苏-泰州,Jiangsu,Taizhou
江苏,江苏-徐州,Jiangsu,Xuzhou
江西,江西-南昌,Jiangxi,Nanchang
江西,江西-赣州,Jiangxi,Ganzhou
吉林,吉林-长春,Jilin,Changchun
辽宁,辽宁-沈阳,Liaoning,Shenyang
宁夏,宁夏-银川,Ningxia,Yinchuan
山西,山西-太原,Shanxi,Taiyuan
山西,山西-晋中,Shanxi,Jinzhong
陕西,陕西-西安,Shaanxi,Xi'an
山东,山东-青岛,Shandong,Qingdao
山东,山东-临沂,Shandong,Linyi
山东,山东-潍坊,Shandong,Weifang
山东,山东-济南,Shandong,Jinan
山东,山东-烟台,Shandong,Yantai
山东,山东-德州,Shandong,Dezhou
四川,四川-成都,Sichuan,Chengdu
四川,四川-绵阳,Sichuan,Mianyang
四川,四川-广安,Sichuan,Guang'an
四川,四川-达州,Sichuan,Dazhou
四川,四川-泸州,Sichuan,Luzhou
四川,四川-内江,Sichuan,Neijiang
四川,四川-南充,Sichuan,Nanchong
四川,四川-巴中,Sichuan,Bazhong
云南,云南-昆明,Yunnan,Kunming
浙江,浙江-杭州,Zhejiang,Hangzhou
浙江,浙江-宁波,Zhejiang,Ningbo
浙江,浙江-温州,Zhejiang,Wenzhou
浙江,浙江-嘉兴,Zhejiang,Jiaxing
浙江,浙江-绍兴,Zhejiang,Shaoxing
浙江,浙江-金华,Zhejiang,Jinhua
山东,山东-聊城,Shandong,Liaocheng
